"Sample_ID","type","valley","sample_2","site","lat","lon","layer","elevation","air_temp","snow_temp","light_intensity","snow_depth","pH","fluoride","chloride","nitrite","nitrate","bromide","sulfate","phosphate","sodium","ammonium","potassium","magnesium","calcium","formate","malate","lactate","butyrate","oxalate","acids","TIN","is.neg"
"H10_1_M","sample","Val de Valsorrey","10-M","S10",45.9335,7.232617,"Bulk",1938,7,0.2,1243,25,6.31,0,0.052,0.003,0.091,0,0.021,0,0.023,0.046,0,0.013,0.12,0.01,0.014,0.011,0,0.001,0.036,0.14,FALSE
"H10_1_T","sample","Val de Valsorrey","10-T","S10",45.9335,7.232617,"Surface",1938,7,0.2,1243,25,6.25,0.002,0.11,0.009,0.628,0.001,0.166,0.015,0.078,0.253,0.031,0.015,0.11,0.15,0.017,0.01,0.002,0.011,0.19,0.89,FALSE
"H10_2_M","sample","Val de Valsorrey","10-M","S10",45.9335,7.232617,"Bulk",1938,7,0.2,1243,25,6.3,0,0.05,0.003,0.107,0,0.025,0,0.021,0.048,0.012,0,0.085,0,0.004,0.019,0,0,0.023,0.158,FALSE
"H10_2_T","sample","Val de Valsorrey","10-T","S10",45.9335,7.232617,"Surface",1938,7,0.2,1243,25,6.2,0.002,0.449,0.005,0.624,0.002,0.156,0.016,0.066,0.252,0.038,0.017,0.112,0.16,0.018,0.006,0.002,0.015,0.201,0.881,FALSE
"H10_3_M","sample","Val de Valsorrey","10-M","S10",45.9335,7.232617,"Bulk",1938,7,0.2,1243,25,6.31,0,0.033,0.002,0.08,0,0.059,0,0.076,0.039,0.026,0,0.063,0.01,0.003,0.015,0,0.011,0.039,0.121,FALSE
"H10_3_T","sample","Val de Valsorrey","10-T","S10",45.9335,7.232617,"Surface",1938,7,0.2,1243,25,6.28,0.002,0.083,0.008,0.595,0,0.064,0,0.036,0.256,0,0,0.074,0.14,0.011,0,0,0.003,0.154,0.859,FALSE
"H11_1_M","sample","Other","11-M","S11",46.0146,7.29505,"Bulk",2031,4.9,0.4,1058,123,6.32,0.002,0.11,0.003,0.193,0,0.077,0,0.043,0.126,0.012,0.013,0.076,0.11,0.009,0.02,0,0.004,0.143,0.322,FALSE
"H11_1_T","sample","Other","11-T","S11",46.0146,7.29505,"Surface",2031,4.9,0.4,1058,123,6.31,0.001,0.035,0.005,0.571,0,0.14,0,0.017,0.199,0.016,0,0.116,0.1,0.016,0,0.003,0.008,0.127,0.775,FALSE
"H11_2_M","sample","Other","11-M","S11",46.0146,7.29505,"Bulk",2031,4.9,0.4,1058,123,6.22,0.002,0.148,0.003,0.206,0.001,0.09,0.012,0.056,0.164,0.017,0.018,0.089,0.18,0.011,0.003,0,0.009,0.203,0.373,FALSE
"H11_2_T","sample","Other","11-T","S11",46.0146,7.29505,"Surface",2031,4.9,0.4,1058,123,6.24,0.001,0.055,0.003,0.588,0,0.144,0,0.028,0.196,0.022,0,0.12,0.1,0.016,0,0.003,0.012,0.131,0.787,FALSE
"H11_3_M","sample","Other","11-M","S11",46.0146,7.29505,"Bulk",2031,4.9,0.4,1058,123,6.31,0.002,0.13,0.004,0.212,0,0.1,0,0.054,0.158,0.014,0.017,0.105,0.15,0.012,0,0,0.008,0.17,0.374,FALSE
"H11_3_T","sample","Other","11-T","S11",46.0146,7.29505,"Surface",2031,4.9,0.4,1058,123,6.25,0.001,0.067,0.004,0.608,0,0.148,0,0.017,0.219,0.017,0,0.126,0.11,0.016,0,0.002,0.011,0.139,0.831,FALSE
"H12_1_M","sample","Val de Bagnes","12-M","S12",45.93317,7.410267,"Bulk",2456,-3.9,-6.5,793,39,6.3,0.002,0.214,0.002,0.651,0.003,0.353,0.014,0.117,0.316,0.057,0.027,0.323,0.48,0.04,0.015,0.004,0.044,0.583,0.969,FALSE
"H12_1_T","sample","Val de Bagnes","12-T","S12",45.93317,7.410267,"Surface",2456,-3.9,-6.5,793,39,6.19,0.006,0.084,0.005,1.12,0,0.284,0,0.017,0.457,0.013,0,0.071,0.23,0.023,0,0,0.018,0.271,1.582,FALSE
"H12_2_M","sample","Val de Bagnes","12-M","S12",45.93317,7.410267,"Bulk",2456,-3.9,-6.5,793,39,6.32,0.004,0.174,0.003,0.579,0.003,0.414,0.014,0.14,0.236,0.069,0.03,0.614,0.36,0.044,0.037,0.004,0.057,0.502,0.818,FALSE
"H12_2_T","sample","Val de Bagnes","12-T","S12",45.93317,7.410267,"Surface",2456,-3.9,-6.5,793,39,6.17,0.003,0.048,0.005,1.301,0.002,0.36,0.012,0.02,0.53,0.02,0.014,0.092,0.27,0.028,0,0.004,0.03,0.332,1.836,FALSE
"H12_3_M","sample","Val de Bagnes","12-M","S12",45.93317,7.410267,"Bulk",2456,-3.9,-6.5,793,39,6.33,0.004,0.15,0.004,0.483,0.003,0.289,0.014,0.083,0.256,0.029,0.027,0.329,0.36,0.031,0.005,0.003,0.046,0.445,0.743,FALSE
"H12_3_T","sample","Val de Bagnes","12-T","S12",45.93317,7.410267,"Surface",2456,-3.9,-6.5,793,39,6.21,0.003,0.058,0.004,1.153,0,0.295,0,0.017,0.465,0.015,0.012,0.078,0.23,0.025,0,0.003,0.021,0.279,1.622,FALSE
"H13_1_M","sample","Val de Bagnes","13-M","S13",45.95585,7.393033,"Bulk",2578,-1.8,-5.1,963,49,6.3,0.003,0.098,0.003,0.859,0,0.234,0.017,0.022,0.351,0.022,0.014,0.12,0.26,0.02,0.007,0.004,0.018,0.309,1.213,FALSE
"H13_1_T","sample","Val de Bagnes","13-T","S13",45.95585,7.393033,"Surface",2578,-1.8,-5.1,963,49,6.29,0.004,0.081,0.003,0.857,0.002,0.225,0.013,0.016,0.388,0.017,0.013,0.11,0.29,0.024,0.003,0.003,0.019,0.339,1.248,FALSE
"H13_2_M","sample","Val de Bagnes","13-M","S13",45.95585,7.393033,"Bulk",2578,-1.8,-5.1,963,49,6.29,0.002,0.083,0.002,0.324,0.002,0.256,0,0.117,0.139,0.04,0.016,0.205,0.15,0.015,0.006,0.002,0.028,0.201,0.465,FALSE
"H13_2_T","sample","Val de Bagnes","13-T","S13",45.95585,7.393033,"Surface",2578,-1.8,-5.1,963,49,6.32,0.004,0.05,0.004,0.844,0,0.222,0.015,0.021,0.372,0.023,0.012,0.112,0.27,0.023,0.007,0.004,0.019,0.323,1.22,FALSE
"H13_3_M","sample","Val de Bagnes","13-M","S13",45.95585,7.393033,"Bulk",2578,-1.8,-5.1,963,49,6.35,0.003,0.112,0.003,0.357,0.002,1.839,0,0.147,0.14,0.064,0.068,1.018,0.16,0.017,0.025,0,0.016,0.218,0.5,FALSE
