"OTU_ID","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"H15_1_M.s4095","Bacteria",NA,NA,NA,NA,NA,NA
"H1_1_M.s102891","Bacteria",NA,NA,NA,NA,NA,NA
"H1_3_M.s250","Bacteria",NA,NA,NA,NA,NA,NA
"H10_2_T.s10586","Bacteria",NA,NA,NA,NA,NA,NA
"H6_1_M.s12413","Bacteria",NA,NA,NA,NA,NA,NA
"H10_2_T.s12708","Bacteria",NA,NA,NA,NA,NA,NA
"H10_2_M.s10807","Bacteria",NA,NA,NA,NA,NA,NA
"H10_2_M.s31187","Bacteria",NA,NA,NA,NA,NA,NA
"H11_2_M.s14122","Bacteria",NA,NA,NA,NA,NA,NA
"H11_3_T.s1165","Bacteria",NA,NA,NA,NA,NA,NA
"H13_1_M.s62329","Bacteria",NA,NA,NA,NA,NA,NA
"H1_3_T.s58822","Bacteria",NA,NA,NA,NA,NA,NA
"H9_3_M.s14","Bacteria",NA,NA,NA,NA,NA,NA
"H13_2_T.s16807","Bacteria",NA,NA,NA,NA,NA,NA
"H11_3_M.s13844","Bacteria",NA,NA,NA,NA,NA,NA
"H10_2_M.s10235","Bacteria",NA,NA,NA,NA,NA,NA
"H1_3_T.s104069","Bacteria",NA,NA,NA,NA,NA,NA
"H13_1_M.s100468","Bacteria",NA,NA,NA,NA,NA,NA
"H15_1_M.s113954","Bacteria",NA,NA,NA,NA,NA,NA
"H16_2_M.s27128","Bacteria",NA,NA,NA,NA,NA,NA
"H16_2_M.s52212","Bacteria",NA,NA,NA,NA,NA,NA
"H16_2_M.s72487","Bacteria",NA,NA,NA,NA,NA,NA
"H19_1_T.s51968","Bacteria",NA,NA,NA,NA,NA,NA
"H1_3_T.s51501","Bacteria",NA,NA,NA,NA,NA,NA
"H1_3_T.s87789","Bacteria",NA,NA,NA,NA,NA,NA
"H2_1_T.s49552","Bacteria",NA,NA,NA,NA,NA,NA
"H10_2_M.s8095","Bacteria",NA,NA,NA,NA,NA,NA
"H10_2_M.s5102","Bacteria",NA,NA,NA,NA,NA,NA
"H10_2_M.s10363","Bacteria",NA,NA,NA,NA,NA,NA
"H5_3_T.s3337","Bacteria",NA,NA,NA,NA,NA,NA
